,timestamp,open,high,low,close,volume
0,2022-08-28 19:30:00,0.514,0.514,0.511,0.511,15901
1,2022-08-28 19:00:00,0.514,0.516,0.513,0.515,37484
2,2022-08-28 18:30:00,0.514,0.515,0.513,0.514,31440
3,2022-08-28 18:00:00,0.513,0.515,0.512,0.514,21330
4,2022-08-28 17:30:00,0.514,0.514,0.512,0.512,26727
5,2022-08-28 17:00:00,0.513,0.515,0.512,0.514,12542
6,2022-08-28 16:30:00,0.517,0.518,0.512,0.513,45298
7,2022-08-28 16:00:00,0.514,0.52,0.514,0.517,84900
8,2022-08-28 15:30:00,0.51,0.514,0.51,0.513,47059
9,2022-08-28 15:00:00,0.509,0.51,0.508,0.51,19849
10,2022-08-28 14:30:00,0.506,0.511,0.504,0.508,75275
11,2022-08-28 14:00:00,0.508,0.51,0.503,0.505,92279
12,2022-08-28 13:30:00,0.507,0.509,0.507,0.508,20542
13,2022-08-28 13:00:00,0.507,0.509,0.506,0.507,75852
14,2022-08-28 12:30:00,0.51,0.511,0.507,0.507,113911
15,2022-08-28 12:00:00,0.511,0.512,0.509,0.51,308071
16,2022-08-28 11:30:00,0.509,0.511,0.509,0.51,38949
17,2022-08-28 11:00:00,0.51,0.511,0.507,0.51,107112
18,2022-08-28 10:30:00,0.506,0.513,0.506,0.51,282606
19,2022-08-28 10:00:00,0.509,0.51,0.506,0.507,133134
20,2022-08-28 09:30:00,0.51,0.51,0.508,0.509,72314
21,2022-08-28 09:00:00,0.512,0.512,0.508,0.51,425477
22,2022-08-28 08:30:00,0.513,0.514,0.51,0.512,49739
23,2022-08-28 08:00:00,0.513,0.516,0.513,0.514,79456
24,2022-08-28 07:30:00,0.512,0.514,0.511,0.513,42513
25,2022-08-28 07:00:00,0.512,0.513,0.51,0.511,117939
26,2022-08-28 06:30:00,0.511,0.513,0.51,0.511,113998
27,2022-08-28 06:00:00,0.511,0.513,0.51,0.512,42734
28,2022-08-28 05:30:00,0.508,0.512,0.507,0.512,59196
29,2022-08-28 05:00:00,0.509,0.511,0.507,0.509,72101
30,2022-08-28 04:30:00,0.508,0.51,0.508,0.509,32275
31,2022-08-28 04:00:00,0.511,0.511,0.507,0.508,42005
32,2022-08-28 03:30:00,0.51,0.511,0.509,0.51,19489
33,2022-08-28 03:00:00,0.51,0.512,0.51,0.51,37167
34,2022-08-28 02:30:00,0.513,0.515,0.511,0.511,56541
35,2022-08-28 02:00:00,0.511,0.513,0.51,0.513,20009
36,2022-08-28 01:30:00,0.511,0.513,0.51,0.51,18117
37,2022-08-28 01:00:00,0.508,0.512,0.508,0.511,52968
38,2022-08-28 00:30:00,0.505,0.509,0.504,0.509,100511
39,2022-08-28 00:00:00,0.509,0.509,0.502,0.505,84959
40,2022-08-27 23:30:00,0.51,0.512,0.508,0.508,46459
41,2022-08-27 23:00:00,0.506,0.51,0.506,0.51,62984
