,timestamp,open,high,low,close,volume
0,2022-08-28 19:30:00,1.6199,1.6212,1.6109,1.6118,19330
1,2022-08-28 19:00:00,1.6161,1.6249,1.6159,1.6195,29613
2,2022-08-28 18:30:00,1.6129,1.618,1.6117,1.6156,16695
3,2022-08-28 18:00:00,1.611,1.6164,1.61,1.6129,18853
4,2022-08-28 17:30:00,1.616,1.6197,1.6073,1.6113,35180
5,2022-08-28 17:00:00,1.6164,1.6201,1.6123,1.6164,23928
6,2022-08-28 16:30:00,1.6289,1.6304,1.6126,1.6164,69953
7,2022-08-28 16:00:00,1.6154,1.635,1.6154,1.6289,70927
8,2022-08-28 15:30:00,1.6166,1.6203,1.6132,1.6158,32855
9,2022-08-28 15:00:00,1.611,1.6184,1.6088,1.6169,37514
10,2022-08-28 14:30:00,1.6039,1.6172,1.6003,1.6117,81016
11,2022-08-28 14:00:00,1.6099,1.6148,1.5916,1.6039,98090
12,2022-08-28 13:30:00,1.6045,1.615,1.6034,1.6096,33946
13,2022-08-28 13:00:00,1.6038,1.6091,1.6015,1.6043,35055
14,2022-08-28 12:30:00,1.6057,1.6095,1.6008,1.6037,22784
15,2022-08-28 12:00:00,1.6098,1.6156,1.6046,1.6058,55595
16,2022-08-28 11:30:00,1.6031,1.6101,1.6027,1.6097,21692
17,2022-08-28 11:00:00,1.6077,1.6096,1.5968,1.6027,41928
18,2022-08-28 10:30:00,1.6057,1.6112,1.6057,1.6076,48811
19,2022-08-28 10:00:00,1.6123,1.6147,1.6015,1.6061,21174
20,2022-08-28 09:30:00,1.6103,1.617,1.6015,1.6123,44311
21,2022-08-28 09:00:00,1.6126,1.6142,1.6062,1.6105,30207
22,2022-08-28 08:30:00,1.6145,1.6148,1.6058,1.6126,22813
23,2022-08-28 08:00:00,1.6123,1.62,1.6115,1.6143,39510
24,2022-08-28 07:30:00,1.605,1.6181,1.6044,1.6121,38531
25,2022-08-28 07:00:00,1.6077,1.6108,1.6023,1.605,21828
26,2022-08-28 06:30:00,1.6089,1.612,1.6034,1.6077,24105
27,2022-08-28 06:00:00,1.6092,1.6161,1.6066,1.6088,26093
28,2022-08-28 05:30:00,1.5974,1.6089,1.5956,1.6089,33902
29,2022-08-28 05:00:00,1.6016,1.6026,1.5919,1.5977,31309
30,2022-08-28 04:30:00,1.5981,1.6019,1.5948,1.6016,20969
31,2022-08-28 04:00:00,1.6063,1.6063,1.5936,1.5984,29885
32,2022-08-28 03:30:00,1.6055,1.6087,1.6009,1.6061,46107
33,2022-08-28 03:00:00,1.6071,1.6164,1.6038,1.6051,34834
34,2022-08-28 02:30:00,1.617,1.6269,1.6058,1.6075,31234
35,2022-08-28 02:00:00,1.61,1.6174,1.6033,1.6169,20855
36,2022-08-28 01:30:00,1.6117,1.6186,1.6092,1.61,41509
37,2022-08-28 01:00:00,1.6047,1.6147,1.5994,1.6117,34477
38,2022-08-28 00:30:00,1.5978,1.6063,1.5897,1.6048,43058
39,2022-08-28 00:00:00,1.6143,1.6148,1.5925,1.598,52300
40,2022-08-27 23:30:00,1.6116,1.6255,1.6116,1.6141,37696
